# element i xi w x mat
1 80 0.11133847564942222 1.9887055233218262e-05 2.3335038567370665 1
1 81 0.11138225095403004 4.5595842728501951e-05 2.3335366882155224 1
1 82 0.11145934452891815 6.969617554870092e-05 2.3335945083966889 1
1 83 0.11156698788246583 9.1280984806299314e-05 2.3336752409118495 1
1 84 0.11170129273007555 0.00010956737462151637 2.3337759695475566 1
1 85 0.11185740549056912 0.00012389393510376198 2.3338930541179268 1
1 86 0.11202968403244214 0.00013374273562860643 2.3340222630243317 1
1 87 0.11221190184586169 0.00013875777132939623 2.3341589263843963 1
1 88 0.11239747315413832 0.00013875777132939623 2.3342981048656037 1
1 89 0.11257969096755788 0.00013374273562860643 2.3344347682256683 1
1 90 0.11275196950943088 0.00012389393510376198 2.3345639771320732 1
1 91 0.11290808226992446 0.00010956737462151637 2.3346810617024434 1
1 92 0.11304238711753418 9.1280984806299314e-05 2.3347817903381505 1
1 93 0.11315003047108188 6.969617554870092e-05 2.3348625228533115 1
1 94 0.11322712404596996 4.5595842728501951e-05 2.3349203430344776 1
1 95 0.11327089935057778 1.9887055233218262e-05 2.3349531745129335 1
1 96 0.11330195129884443 3.9774110466436524e-05 2.3349764634741335 1
1 97 0.1133895019080601 9.1191685457003903e-05 2.3350421264310453 1
1 98 0.11354368905783628 0.00013939235109740184 2.3351577667933769 1
1 99 0.11375897576493164 0.00018256196961259863 2.3353192318236986 1
1 100 0.11402758546015108 0.00021913474924303275 2.3355206890951132 1
1 101 0.11433981098113823 0.00024778787020752395 2.3357548582358536 1
1 102 0.11468436806488426 0.00026748547125721286 2.3360132760486634 1
1 103 0.11504880369172338 0.00027751554265879246 2.3362866027687925 1
1 104 0.11541994630827665 0.00027751554265879246 2.3365649597312075 1
1 105 0.11578438193511574 0.00026748547125721286 2.3368382864513366 1
1 106 0.11612893901886177 0.00024778787020752395 2.3370967042641464 1
1 107 0.11644116453984892 0.00021913474924303275 2.3373308734048868 1
1 108 0.11670977423506837 0.00018256196961259863 2.3375323306763014 1
1 109 0.11692506094216375 0.00013939235109740184 2.3376937957066231 1
1 110 0.1170792480919399 9.1191685457003903e-05 2.3378094360689547 1
1 111 0.11716679870115557 3.9774110466436524e-05 2.3378750990258665 1
1 112 0.11722890259768887 7.9548220932873048e-05 2.3379216769482669 1
1 113 0.11740400381612018 0.00018238337091400781 2.3380530028620901 1
1 114 0.11771237811567253 0.00027878470219480368 2.3382842835867543 1
1 115 0.11814295152986329 0.00036512393922519726 2.3386072136473972 1
1 116 0.11868017092030217 0.0004382694984860655 2.3390101281902269 1
1 117 0.11930462196227645 0.0004955757404150479 2.3394784664717072 1
1 118 0.11999373612976852 0.00053497094251442573 2.3399953020973263 1
1 119 0.12072260738344673 0.00055503108531758491 2.340541955537585 1
1 120 0.12146489261655327 0.00055503108531758491 2.341098669462415 1
1 121 0.12219376387023148 0.00053497094251442573 2.3416453229026737 1
1 122 0.12288287803772355 0.0004955757404150479 2.3421621585282928 1
1 123 0.12350732907969783 0.0004382694984860655 2.3426304968097731 1
1 124 0.12404454847013674 0.00036512393922519726 2.3430334113526028 1
1 125 0.12447512188432748 0.00027878470219480368 2.3433563414132452 1
1 126 0.12478349618387982 0.00018238337091400781 2.3435876221379099 1
